date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:14	2199/2199	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:13%20GMT	http://www.stanford.edu/class/cs97si/assn3.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn3.html	(from )
22:53:14	2136/2136	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:14%20GMT	http://www.stanford.edu/class/cs97si/assn4.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn4.html	(from )
22:53:15	1979/1979	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:14%20GMT	http://www.stanford.edu/class/cs97si/assn5.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn5.html	(from )
22:53:15	1949/1949	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:15%20GMT	http://www.stanford.edu/class/cs97si/assn6.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn6.html	(from )
22:53:15	1763/1763	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:15%20GMT	http://www.stanford.edu/class/cs97si/assn7.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn7.html	(from )
22:53:16	1824/1824	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:16%20GMT	http://www.stanford.edu/class/cs97si/assn8.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn8.html	(from )
22:53:18	2620/2620	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:16%20GMT	http://www.stanford.edu/class/cs97si/assn9.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn9.html	(from )
22:53:19	1907/1907	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:18%20GMT	http://www.stanford.edu/class/cs97si/assn10.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn10.html	(from )
22:53:19	555/555	---M--	200	added ('OK')	image/png	etag:%224db20014-22b-4b63a10ea6dc0%22	http://www.stanford.edu/class/cs97si/eqs/2998877186467778748-130.png	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/eqs/2998877186467778748-130.png	(from )
22:53:33	349932/349932	---M--	200	added ('OK')	application/pdf	etag:%224db20038-556ec-4b9eb352653c0%22	http://www.stanford.edu/class/cs97si/09-computational-geometry.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/09-computational-geometry.pdf	(from )
22:53:39	253643/253643	---M--	200	added ('OK')	application/pdf	etag:%224db20058-3decb-467b238f0fe00%22	http://www.stanford.edu/class/cs97si/suffix-array.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/suffix-array.pdf	(from )
22:53:41	405721/405721	---M--	200	added ('OK')	application/pdf	etag:%224db20036-630d9-4bb53d9d2e780%22	http://www.stanford.edu/class/cs97si/10-string-algorithms.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/10-string-algorithms.pdf	(from )
22:53:42	526/526	---M--	200	added ('OK')	image/png	etag:%224db20028-20e-4b8540c7b1840%22	http://www.stanford.edu/class/cs97si/eqs/4242496602926243439-130.png	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/eqs/4242496602926243439-130.png	(from http://www.stanford.edu/class/cs97si/)
22:53:42	341/341	---M--	200	added ('OK')	image/png	etag:%224db2001a-155-4b63a10f9b000%22	http://www.stanford.edu/class/cs97si/eqs/13952041964-130.png	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/eqs/13952041964-130.png	(from http://www.stanford.edu/class/cs97si/)
